timestamp,name,hashrate_1m,hashrate_24h,power,efficiency,temp,chipTemp,sharesAccepted,sharesRejected,alive
2025-12-09T07:18:28.541043+00:00,A,7.54684,0.0,154.3243408203125,20.44886,39,58.3125,4734,8,True
2025-12-09T07:18:28.541043+00:00,B,8.22218,0.0,152.324951171875,18.52611,38,53.4375,5994,9,True
2025-12-09T07:18:28.541043+00:00,C,7.70838,0.0,147.6805419921875,19.15843,37,52.75,6950,9,True
2025-12-09T07:18:28.541043+00:00,D,6.77302,0.0,147.6226806640625,21.79571,35,61.1875,4403,14,True
2025-12-09T07:18:28.541043+00:00,E,6.04675,0.0,146.093017578125,24.16057,34,53.8125,2349,7,True
2025-12-09T07:18:28.541043+00:00,F,7.33833,0.0,146.521484375,19.9666,32,48.375,991,6,True
2025-12-09T07:18:28.541043+00:00,NerdAxe1,0,0,0,0,0,0,0,0,False
2025-12-09T07:18:28.541043+00:00,nerdoct1,7.46368,3.0599,140.75,18.85798,60,0,987,1,True
2025-12-09T07:18:28.541043+00:00,TestMiner,0,0,0,0,0,0,0,0,False
2025-12-09T07:18:28.541043+00:00,G,6.46685,0.0,142.3037109375,22.0051,30,44.0625,1297,1,True
2025-12-09T07:18:33.478761+00:00,A,7.58813,0.0,154.4801025390625,20.35813,39,58.1875,4735,8,True
2025-12-09T07:18:33.478761+00:00,B,8.07057,0.0,152.3931884765625,18.88258,38,53.3125,5994,9,True
2025-12-09T07:18:33.478761+00:00,C,7.27908,0.0,147.6806640625,20.28836,37,52.8125,6950,9,True
2025-12-09T07:18:33.478761+00:00,D,6.61798,0.0,147.4786376953125,22.28454,35,61.4375,4404,14,True
2025-12-09T07:18:33.478761+00:00,E,6.26177,0.0,146.09326171875,23.33097,34,53.8125,2349,7,True
2025-12-09T07:18:33.478761+00:00,F,6.82711,0.0,146.5213623046875,21.46169,32,48.3125,991,6,True
2025-12-09T07:18:33.478761+00:00,NerdAxe1,0,0,0,0,0,0,0,0,False
